work_id,demo_anonymous_id,sanction_date,completion_date,work_status,days_since_sanction,delay_type,delay_score,delay_flag,delay_explanation
WS/MP681/2024-2025/143658,ND-WRK-2236,2024-08-10,,Vendor Identification,759,open_work_age,100,True,No completion date is present and the work has been on record for 759 days since sanction. Current workflow status: Vendor Identification.
WS/MP681/2024-2025/143657,ND-WRK-2235,2024-08-10,,Sanction,759,open_work_age,100,True,No completion date is present and the work has been on record for 759 days since sanction. Current workflow status: Sanction.
WS/MP681/2024-2025/143649,ND-WRK-2229,2024-08-10,,Vendor Identification,759,open_work_age,100,True,No completion date is present and the work has been on record for 759 days since sanction. Current workflow status: Vendor Identification.
WS/MP681/2024-2025/143650,ND-WRK-2230,2024-08-10,,Vendor Identification,759,open_work_age,100,True,No completion date is present and the work has been on record for 759 days since sanction. Current workflow status: Vendor Identification.
WS/MP681/2024-2025/143651,ND-WRK-2231,2024-08-10,,Vendor Identification,759,open_work_age,100,True,No completion date is present and the work has been on record for 759 days since sanction. Current workflow status: Vendor Identification.
WS/MP681/2024-2025/143652,ND-WRK-2232,2024-08-10,,Vendor Identification,759,open_work_age,100,True,No completion date is present and the work has been on record for 759 days since sanction. Current workflow status: Vendor Identification.
WS/MP681/2024-2025/143654,ND-WRK-2233,2024-08-10,,Vendor Identification,759,open_work_age,100,True,No completion date is present and the work has been on record for 759 days since sanction. Current workflow status: Vendor Identification.
WS/MP681/2024-2025/143655,ND-WRK-2234,2024-08-10,,Vendor Identification,759,open_work_age,100,True,No completion date is present and the work has been on record for 759 days since sanction. Current workflow status: Vendor Identification.
WS/MP681/2024-2025/143648,ND-WRK-2228,2024-08-10,,Vendor Identification,759,open_work_age,100,True,No completion date is present and the work has been on record for 759 days since sanction. Current workflow status: Vendor Identification.
WS/MP681/2024-2025/143647,ND-WRK-2227,2024-08-10,,Vendor Identification,759,open_work_age,100,True,No completion date is present and the work has been on record for 759 days since sanction. Current workflow status: Vendor Identification.
WS/MP681/2024-2025/134798,ND-WRK-2218,2024-03-10,,Physical Inspection,912,open_work_age,100,True,No completion date is present and the work has been on record for 912 days since sanction. Current workflow status: Physical Inspection.
WS/MP681/2024-2025/143646,ND-WRK-2226,2024-08-10,,Vendor Identification,759,open_work_age,100,True,No completion date is present and the work has been on record for 759 days since sanction. Current workflow status: Vendor Identification.
WS/MP18117/2024-2025/142021,ND-WRK-0516,2024-02-12,,Physical Inspection,939,open_work_age,100,True,No completion date is present and the work has been on record for 939 days since sanction. Current workflow status: Physical Inspection.
WS/MP18117/2024-2025/142022,ND-WRK-0517,2024-02-12,,Physical Inspection,939,open_work_age,100,True,No completion date is present and the work has been on record for 939 days since sanction. Current workflow status: Physical Inspection.
WS/MP681/2024-2025/143971,ND-WRK-2238,2024-09-10,,Physical Inspection,728,open_work_age,85,True,No completion date is present and the work has been on record for 728 days since sanction. Current workflow status: Physical Inspection.
WS/MP681/2024-2025/143809,ND-WRK-2237,2024-11-10,,Physical Inspection,667,open_work_age,85,True,No completion date is present and the work has been on record for 667 days since sanction. Current workflow status: Physical Inspection.
WS/MP681/2024-2025/143976,ND-WRK-2242,2024-11-10,,Physical Inspection,667,open_work_age,85,True,No completion date is present and the work has been on record for 667 days since sanction. Current workflow status: Physical Inspection.
WS/MP681/2024-2025/144038,ND-WRK-2248,2025-03-01,,Vendor Identification,556,open_work_age,85,True,No completion date is present and the work has been on record for 556 days since sanction. Current workflow status: Vendor Identification.
WS/MP681/2024-2025/161539,ND-WRK-2255,2025-01-01,,Physical Inspection,615,open_work_age,85,True,No completion date is present and the work has been on record for 615 days since sanction. Current workflow status: Physical Inspection.
WS/MP681/2024-2025/144041,ND-WRK-2250,2025-03-01,,Vendor Identification,556,open_work_age,85,True,No completion date is present and the work has been on record for 556 days since sanction. Current workflow status: Vendor Identification.
WS/MP681/2024-2025/134797,ND-WRK-2217,2024-09-09,,Physical Inspection,729,open_work_age,85,True,No completion date is present and the work has been on record for 729 days since sanction. Current workflow status: Physical Inspection.
WS/MP661/2024-2025/137791,ND-WRK-2078,2024-12-09,,Physical Inspection,638,open_work_age,85,True,No completion date is present and the work has been on record for 638 days since sanction. Current workflow status: Physical Inspection.
WS/MP681/2024-2025/134805,ND-WRK-2225,2024-09-10,,Vendor Identification,728,open_work_age,85,True,No completion date is present and the work has been on record for 728 days since sanction. Current workflow status: Vendor Identification.
WS/MP681/2024-2025/134801,ND-WRK-2221,2024-11-10,,Physical Inspection,667,open_work_age,85,True,No completion date is present and the work has been on record for 667 days since sanction. Current workflow status: Physical Inspection.
WS/MP18308/2025-2026/145428,ND-WRK-1845,2025-01-07,,Vendor Identification,609,open_work_age,85,True,No completion date is present and the work has been on record for 609 days since sanction. Current workflow status: Vendor Identification.
WS/MP18308/2025-2026/145418,ND-WRK-1837,2025-01-07,,Vendor Identification,609,open_work_age,85,True,No completion date is present and the work has been on record for 609 days since sanction. Current workflow status: Vendor Identification.
WS/MP18124/2025-2026/165820,ND-WRK-0893,2025-01-07,,Vendor Identification,609,open_work_age,85,True,No completion date is present and the work has been on record for 609 days since sanction. Current workflow status: Vendor Identification.
WS/MP18124/2025-2026/165816,ND-WRK-0892,2025-01-07,,Vendor Identification,609,open_work_age,85,True,No completion date is present and the work has been on record for 609 days since sanction. Current workflow status: Vendor Identification.
WS/MP18124/2025-2026/165789,ND-WRK-0891,2025-01-07,,Vendor Identification,609,open_work_age,85,True,No completion date is present and the work has been on record for 609 days since sanction. Current workflow status: Vendor Identification.
WS/MP18124/2025-2026/165786,ND-WRK-0890,2025-01-12,,Vendor Identification,604,open_work_age,85,True,No completion date is present and the work has been on record for 604 days since sanction. Current workflow status: Vendor Identification.
WS/MP661/2024-2025/137790,ND-WRK-2077,2024-12-09,,Physical Inspection,638,open_work_age,85,True,No completion date is present and the work has been on record for 638 days since sanction. Current workflow status: Physical Inspection.
WS/MP18369/2025-2026/187445,ND-WRK-1969,2025-03-11,,Physical Inspection,546,open_work_age,85,True,No completion date is present and the work has been on record for 546 days since sanction. Current workflow status: Physical Inspection.
WS/MP18124/2025-2026/165779,ND-WRK-0887,2025-01-07,,Vendor Identification,609,open_work_age,85,True,No completion date is present and the work has been on record for 609 days since sanction. Current workflow status: Vendor Identification.
WS/MP18124/2025-2026/165781,ND-WRK-0888,2025-01-07,,Vendor Identification,609,open_work_age,85,True,No completion date is present and the work has been on record for 609 days since sanction. Current workflow status: Vendor Identification.
WS/MP18124/2025-2026/162373,ND-WRK-0876,2025-01-07,,Vendor Identification,609,open_work_age,85,True,No completion date is present and the work has been on record for 609 days since sanction. Current workflow status: Vendor Identification.
WS/MP18124/2025-2026/162349,ND-WRK-0871,2025-01-07,,Vendor Identification,609,open_work_age,85,True,No completion date is present and the work has been on record for 609 days since sanction. Current workflow status: Vendor Identification.
